"S 50","S 2.5","S 97.5","SI 50","SI 2.5","SI 97.5","I 50","I 2.5","I 97.5","IR 50","IR 2.5","IR 97.5"
6232,5816,6590,1.45788071539473,1.3294404702428,1.62597586434596,0,0,4,0.978575412019185,0.887636203254241,1.09963225283289
6231,5782,6564.025,1.58592588093827,1.46841873572179,1.73476806141275,0,0,6,1.06720490403372,0.982336646422179,1.16706713810399
2427,2047.925,2771.125,1.80601941524369,1.71741036763757,1.90145045715568,0,0,2,0.923197637399682,0.84425456892709,0.993383902873029
1971,1604.925,2458,2.15367454530979,2.06531918321581,2.26978428360227,0,0,1,1.07556180943875,1.00383800960563,1.17446689633087
740,474,927,2.28887546397433,2.21960309014781,2.36261043299646,0,0,1,0.966884423806001,0.909725446994379,1.01589020075606
104,48,180,2.71823714768326,2.64618978735954,2.78717906010497,0,0,0,1.02305382023969,0.975687544963704,1.06856890939621
5809,5582,6025,1.48462817214141,1.35617111198706,1.59885333214509,0,0,0,0.972860502279566,0.881331631480665,1.04934858214304
6571,6403,6720,1.5825555648971,1.47886587558435,1.76099902403841,0,0,0,1.08181502026866,1.00658756721923,1.20440880494449
2248,2056,2446,1.86133001625384,1.78952091378722,1.94674322069725,0,0,0,0.936975399035745,0.88226140478162,0.98859896705792
2085,1869,2276,2.14825298447431,2.07961892047036,2.23203169443779,0,0,0,1.07989852030453,1.03341684017853,1.13853688365139
460,370.975,596,2.26219002393682,2.20139686434294,2.33206526539614,0,0,1,0.894965476369782,0.857221440408177,0.938810814640979
55,17,123,2.73111639520427,2.65625515399849,2.81899824894977,0,0,0,1.00804809382083,0.958767564774728,1.08820615049631
5893,5746,6024,1.43243729427021,1.35596140193111,1.52217798343293,0,0,1,0.942172666200532,0.884710459780213,1.00828384724493
5930,5757,6088,1.55626142524669,1.45712129182613,1.67056553805659,0,0,0,1.02544081985008,0.956803779860174,1.10817244379694
2558,2368,2725,1.83143943687869,1.75594902007314,1.90381675769375,0,0,1,0.94768409113002,0.900399776470129,0.999987204782888
1817,1633.9,2016,2.20658894370795,2.1311355656563,2.30774539451932,0,0,0,1.08982653872745,1.03419586809311,1.14725065702547
612,503,737,2.24147951437924,2.17882156923123,2.31747975278507,0,0,0,0.917805745514279,0.876315059453225,0.963973195836006
142,75,205,2.72526854676688,2.66876461701549,2.78991418519231,0,0,0,1.07838708871386,1.05134709743331,1.11661702828998
6234,6080,6372,1.41094518410024,1.33123311024052,1.4743506826423,0,0,0,0.943712406147215,0.884458912773388,0.990158487156161
6134,5972,6229,1.68817491145213,1.53529692095147,1.753392662277,0,0,0,1.12932062194871,1.02733819770467,1.17868671051757
2232,2084,2343,1.77816832288154,1.7217037949273,1.82961681077867,0,0,2,0.889887027871019,0.855862827255792,0.918512319313938
1930,1784,2051.025,2.22526281295533,2.14278826898463,2.31210771178813,0,0,0,1.1084012696192,1.06645773065431,1.14743736867323
525.5,452,641,2.24538516596441,2.18593012087282,2.30608674371624,0,0,1,0.899388150795833,0.875629295247996,0.921451676552456
91,64,127,2.74639247559069,2.70125386605823,2.79838018366087,0,0,0,1.06148074143562,1.04417379325465,1.08137754806963
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
