"parameter","time","value","statistic","method"
"r: I->R",31,0.00101389298796269,"MSE","LW95"
"S",32,384838.785,"MSE","LW95"
"I",32,63285.8325,"MSE","LW95"
"R",32,238387.35,"MSE","LW95"
"p: S+I->2I",32,2.14636014504736e-05,"MSE","LW95"
"p: I->R",32,1.57908145097349e-05,"MSE","LW95"
"r: S+I->2I",32,0.000990769681901396,"MSE","LW95"
"r: I->R",32,0.000951570636910856,"MSE","LW95"
"S",33,358954.0325,"MSE","LW95"
"I",33,52555.73,"MSE","LW95"
"R",33,239005.9475,"MSE","LW95"
"p: S+I->2I",33,2.19580058730703e-05,"MSE","LW95"
"p: I->R",33,1.64987147689924e-05,"MSE","LW95"
"r: S+I->2I",33,0.00102768403939632,"MSE","LW95"
"r: I->R",33,0.000937564165355651,"MSE","LW95"
"S",34,361423.2875,"MSE","LW95"
"I",34,44856.305,"MSE","LW95"
"R",34,248169.1275,"MSE","LW95"
"p: S+I->2I",34,2.12249269853109e-05,"MSE","LW95"
"p: I->R",34,1.53171194148839e-05,"MSE","LW95"
"r: S+I->2I",34,0.00103873614945039,"MSE","LW95"
"r: I->R",34,0.000932219866989732,"MSE","LW95"
"S",35,378963.1075,"MSE","LW95"
"I",35,40155.01,"MSE","LW95"
"R",35,264464.6425,"MSE","LW95"
"p: S+I->2I",35,2.07212463697402e-05,"MSE","LW95"
"p: I->R",35,1.52962611424481e-05,"MSE","LW95"
"r: S+I->2I",35,0.00100927904939097,"MSE","LW95"
"r: I->R",35,0.000941761361492435,"MSE","LW95"
"S",36,380669.7575,"MSE","LW95"
"I",36,33822.7825,"MSE","LW95"
"R",36,272600.9725,"MSE","LW95"
"p: S+I->2I",36,2.09942572365249e-05,"MSE","LW95"
"p: I->R",36,1.5588430824982e-05,"MSE","LW95"
"r: S+I->2I",36,0.00100778880792118,"MSE","LW95"
"r: I->R",36,0.000926356043251623,"MSE","LW95"
"S",37,374795.66,"MSE","LW95"
"I",37,26134.7075,"MSE","LW95"
"R",37,274036.075,"MSE","LW95"
"p: S+I->2I",37,1.99942761130364e-05,"MSE","LW95"
"p: I->R",37,1.52356296664741e-05,"MSE","LW95"
"r: S+I->2I",37,0.000953401265970808,"MSE","LW95"
"r: I->R",37,0.000901390743821424,"MSE","LW95"
"S",38,366890.21,"MSE","LW95"
"I",38,21505.55,"MSE","LW95"
"R",38,274166.2375,"MSE","LW95"
"p: S+I->2I",38,2.04771028210186e-05,"MSE","LW95"
"p: I->R",38,1.50089810544426e-05,"MSE","LW95"
"r: S+I->2I",38,0.000942760279539464,"MSE","LW95"
"r: I->R",38,0.000873233567625059,"MSE","LW95"
"S",39,369767.845,"MSE","LW95"
"I",39,17953.585,"MSE","LW95"
"R",39,291911.2175,"MSE","LW95"
"p: S+I->2I",39,2.06854342531749e-05,"MSE","LW95"
"p: I->R",39,1.47507861991397e-05,"MSE","LW95"
"r: S+I->2I",39,0.000946243328890394,"MSE","LW95"
"r: I->R",39,0.00084202267598434,"MSE","LW95"
"S",40,360135.275,"MSE","LW95"
"I",40,12572.945,"MSE","LW95"
"R",40,288863.7275,"MSE","LW95"
"p: S+I->2I",40,1.99801368444996e-05,"MSE","LW95"
"p: I->R",40,1.45314569034999e-05,"MSE","LW95"
"r: S+I->2I",40,0.000926340027521464,"MSE","LW95"
"r: I->R",40,0.000823083069184384,"MSE","LW95"
"S",41,363112.3275,"MSE","LW95"
"I",41,11981.89,"MSE","LW95"
"R",41,293857.5525,"MSE","LW95"
"p: S+I->2I",41,1.92908770013268e-05,"MSE","LW95"
"p: I->R",41,1.39093154724098e-05,"MSE","LW95"
"r: S+I->2I",41,0.000902003531693511,"MSE","LW95"
"r: I->R",41,0.000798466655923074,"MSE","LW95"
"S",42,383972.3175,"MSE","LW95"
"I",42,9024.4425,"MSE","LW95"
"R",42,316494.2075,"MSE","LW95"
"p: S+I->2I",42,2.0035593548602e-05,"MSE","LW95"
"p: I->R",42,1.39825253077849e-05,"MSE","LW95"
"r: S+I->2I",42,0.00088883512148894,"MSE","LW95"
"r: I->R",42,0.000773704661516523,"MSE","LW95"
"S",43,372777.8725,"MSE","LW95"
"I",43,7116.3925,"MSE","LW95"
"R",43,315319.245,"MSE","LW95"
"p: S+I->2I",43,1.92083350689791e-05,"MSE","LW95"
"p: I->R",43,1.38773832745325e-05,"MSE","LW95"
"r: S+I->2I",43,0.000883731395083679,"MSE","LW95"
"r: I->R",43,0.000760960089691248,"MSE","LW95"
"S",44,377223.9675,"MSE","LW95"
"I",44,5918.1,"MSE","LW95"
"R",44,323044.825,"MSE","LW95"
"p: S+I->2I",44,1.8783849942676e-05,"MSE","LW95"
"p: I->R",44,1.3702794945484e-05,"MSE","LW95"
"r: S+I->2I",44,0.00086675800524825,"MSE","LW95"
"r: I->R",44,0.000754415772095546,"MSE","LW95"
"S",45,374665.535,"MSE","LW95"
"I",45,4687.2725,"MSE","LW95"
"R",45,329030.0775,"MSE","LW95"
"p: S+I->2I",45,1.79951507498521e-05,"MSE","LW95"
"p: I->R",45,1.3682226479758e-05,"MSE","LW95"
"r: S+I->2I",45,0.000867778298197929,"MSE","LW95"
"r: I->R",45,0.000749293496534797,"MSE","LW95"
"S",46,356740.6875,"MSE","LW95"
"I",46,4174.9875,"MSE","LW95"
"R",46,317681.02,"MSE","LW95"
"p: S+I->2I",46,1.81472967929991e-05,"MSE","LW95"
"p: I->R",46,1.36569543571005e-05,"MSE","LW95"
"r: S+I->2I",46,0.000871656113526541,"MSE","LW95"
"r: I->R",46,0.000750483692144347,"MSE","LW95"
"S",47,352565.76,"MSE","LW95"
"I",47,3127.505,"MSE","LW95"
"R",47,322602.3325,"MSE","LW95"
"p: S+I->2I",47,1.89007906907025e-05,"MSE","LW95"
"p: I->R",47,1.38739161787666e-05,"MSE","LW95"
"r: S+I->2I",47,0.000855165291863815,"MSE","LW95"
"r: I->R",47,0.000742621951585675,"MSE","LW95"
"S",48,348011.4725,"MSE","LW95"
"I",48,2486.3125,"MSE","LW95"
"R",48,320887.03,"MSE","LW95"
"p: S+I->2I",48,1.89907279650216e-05,"MSE","LW95"
"p: I->R",48,1.40399630078416e-05,"MSE","LW95"
"r: S+I->2I",48,0.000828775946014319,"MSE","LW95"
"r: I->R",48,0.000737946175775493,"MSE","LW95"
"S",49,370106.915,"MSE","LW95"
"I",49,2100.07,"MSE","LW95"
"R",49,342855.75,"MSE","LW95"
"p: S+I->2I",49,2.0135850556756e-05,"MSE","LW95"
"p: I->R",49,1.43887879398238e-05,"MSE","LW95"
"r: S+I->2I",49,0.000810047165989699,"MSE","LW95"
"r: I->R",49,0.000739693421002626,"MSE","LW95"
"S",50,335923.1025,"MSE","LW95"
"I",50,1645.95,"MSE","LW95"
"R",50,313046.3375,"MSE","LW95"
"p: S+I->2I",50,1.97033930444532e-05,"MSE","LW95"
"p: I->R",50,1.41055766215461e-05,"MSE","LW95"
"r: S+I->2I",50,0.00080071237631839,"MSE","LW95"
"r: I->R",50,0.000723050292882862,"MSE","LW95"
"S",51,351839.7375,"MSE","LW95"
"I",51,1301.4325,"MSE","LW95"
"R",51,333091.555,"MSE","LW95"
"p: S+I->2I",51,2.0238416371889e-05,"MSE","LW95"
"p: I->R",51,1.42646066079249e-05,"MSE","LW95"
"r: S+I->2I",51,0.000785163944602541,"MSE","LW95"
"r: I->R",51,0.000727244055484633,"MSE","LW95"
"S",52,346098.450625,"MSE","LW95"
"I",52,1099.2225,"MSE","LW95"
"R",52,325802.0175,"MSE","LW95"
"p: S+I->2I",52,1.9936399962387e-05,"MSE","LW95"
"p: I->R",52,1.39595963115795e-05,"MSE","LW95"
"r: S+I->2I",52,0.000783277584095984,"MSE","LW95"
"r: I->R",52,0.000720812764016849,"MSE","LW95"
"S",53,350182.785,"MSE","LW95"
"I",53,917.9475,"MSE","LW95"
"R",53,336166.215,"MSE","LW95"
"p: S+I->2I",53,1.95326942469513e-05,"MSE","LW95"
"p: I->R",53,1.36519003178428e-05,"MSE","LW95"
"r: S+I->2I",53,0.000806636570695275,"MSE","LW95"
"r: I->R",53,0.000728864348893715,"MSE","LW95"
"S",54,357253.9225,"MSE","LW95"
"I",54,725.5325,"MSE","LW95"
"R",54,345577.4325,"MSE","LW95"
"p: S+I->2I",54,1.96401902840881e-05,"MSE","LW95"
"p: I->R",54,1.36674800082499e-05,"MSE","LW95"
"r: S+I->2I",54,0.00080090318253414,"MSE","LW95"
"r: I->R",54,0.000723785757366925,"MSE","LW95"
"S",55,362925.4175,"MSE","LW95"
"I",55,673.6125,"MSE","LW95"
"R",55,353842.335,"MSE","LW95"
"p: S+I->2I",55,2.00483865503873e-05,"MSE","LW95"
"p: I->R",55,1.38062045903435e-05,"MSE","LW95"
"r: S+I->2I",55,0.000816045052168029,"MSE","LW95"
"r: I->R",55,0.000728588357076786,"MSE","LW95"
"S",56,371499.0425,"MSE","LW95"
"I",56,731.605,"MSE","LW95"
"R",56,362056.5575,"MSE","LW95"
"p: S+I->2I",56,2.04282801071281e-05,"MSE","LW95"
"p: I->R",56,1.40428702731018e-05,"MSE","LW95"
"r: S+I->2I",56,0.000810956175745307,"MSE","LW95"
"r: I->R",56,0.000720435051135502,"MSE","LW95"
"S",57,360321.6775,"MSE","LW95"
"I",57,640.3725,"MSE","LW95"
"R",57,350671.4725,"MSE","LW95"
"p: S+I->2I",57,1.97452777809583e-05,"MSE","LW95"
"p: I->R",57,1.39420239410232e-05,"MSE","LW95"
"r: S+I->2I",57,0.000819298772595224,"MSE","LW95"
"r: I->R",57,0.000720488198601867,"MSE","LW95"
"S",58,358714.940625,"MSE","LW95"
"I",58,557.8325,"MSE","LW95"
"R",58,354822.165,"MSE","LW95"
"p: S+I->2I",58,1.94814241145266e-05,"MSE","LW95"
"p: I->R",58,1.38188913989535e-05,"MSE","LW95"
"r: S+I->2I",58,0.000825896765339751,"MSE","LW95"
"r: I->R",58,0.000724983708742642,"MSE","LW95"
"S",59,359304.5475,"MSE","LW95"
"I",59,559.7775,"MSE","LW95"
"R",59,356195.3625,"MSE","LW95"
"p: S+I->2I",59,1.95718341962493e-05,"MSE","LW95"
"p: I->R",59,1.37957077382477e-05,"MSE","LW95"
"r: S+I->2I",59,0.000830655101016293,"MSE","LW95"
"r: I->R",59,0.000725207731515155,"MSE","LW95"
"S",60,351462.49,"MSE","LW95"
"I",60,424.0475,"MSE","LW95"
"R",60,348598.0725,"MSE","LW95"
"p: S+I->2I",60,1.98382033833644e-05,"MSE","LW95"
"p: I->R",60,1.37155559796972e-05,"MSE","LW95"
"r: S+I->2I",60,0.000835623306204974,"MSE","LW95"
"r: I->R",60,0.000731755712914259,"MSE","LW95"
"S",0,1.17861599451282,"seMSE","LW95"
"I",0,1.17861599451282,"seMSE","LW95"
"R",0,0,"seMSE","LW95"
"p: S+I->2I",0,0.00080142946445767,"seMSE","LW95"
"p: I->R",0,0.000833567994938723,"seMSE","LW95"
"r: S+I->2I",0,0.00951506020039517,"seMSE","LW95"
"r: I->R",0,0.00604002542919803,"seMSE","LW95"
"S",1,2.66729985339272,"seMSE","LW95"
"I",1,2.72024728576349,"seMSE","LW95"
"R",1,0.854860327936534,"seMSE","LW95"
"p: S+I->2I",1,0.000802562330042136,"seMSE","LW95"
"p: I->R",1,0.000801258692365837,"seMSE","LW95"
"r: S+I->2I",1,0.00893200455333843,"seMSE","LW95"
"r: I->R",1,0.00572977060066693,"seMSE","LW95"
"S",2,4.84909062942464,"seMSE","LW95"
"I",2,4.70192286382532,"seMSE","LW95"
"R",2,1.75318668477077,"seMSE","LW95"
"p: S+I->2I",2,0.000839034402689727,"seMSE","LW95"
"p: I->R",2,0.000811226982067627,"seMSE","LW95"
"r: S+I->2I",2,0.00832860895826194,"seMSE","LW95"
"r: I->R",2,0.00552222776019005,"seMSE","LW95"
"S",3,7.18086707487138,"seMSE","LW95"
"I",3,6.77394812859441,"seMSE","LW95"
"R",3,2.41448857653936,"seMSE","LW95"
"p: S+I->2I",3,0.000840855070709582,"seMSE","LW95"
"p: I->R",3,0.000790908636817277,"seMSE","LW95"
"r: S+I->2I",3,0.00699123465273456,"seMSE","LW95"
"r: I->R",3,0.0055003662073223,"seMSE","LW95"
"S",4,7.32353366025188,"seMSE","LW95"
"I",4,6.70084894017494,"seMSE","LW95"
"R",4,3.26270444407067,"seMSE","LW95"
"p: S+I->2I",4,0.000846783880265639,"seMSE","LW95"
"p: I->R",4,0.000898627910352467,"seMSE","LW95"
"r: S+I->2I",4,0.00663945247856822,"seMSE","LW95"
"r: I->R",4,0.00577559629611551,"seMSE","LW95"
"S",5,9.95543672936533,"seMSE","LW95"
"I",5,8.68488821443191,"seMSE","LW95"
"R",5,4.52264264607443,"seMSE","LW95"
"p: S+I->2I",5,0.000856647018502348,"seMSE","LW95"
"p: I->R",5,0.000907296709183874,"seMSE","LW95"
"r: S+I->2I",5,0.00542877917318704,"seMSE","LW95"
"r: I->R",5,0.00594165174257763,"seMSE","LW95"
"S",6,13.091881879405,"seMSE","LW95"
"I",6,10.2971101929635,"seMSE","LW95"
"R",6,5.57955266697057,"seMSE","LW95"
"p: S+I->2I",6,0.000831681769093257,"seMSE","LW95"
"p: I->R",6,0.000899900043550031,"seMSE","LW95"
"r: S+I->2I",6,0.00496139381425225,"seMSE","LW95"
"r: I->R",6,0.00521648125978606,"seMSE","LW95"
"S",7,16.4336444861129,"seMSE","LW95"
"I",7,13.4040435155184,"seMSE","LW95"
"R",7,7.01619782057601,"seMSE","LW95"
"p: S+I->2I",7,0.000845591179232909,"seMSE","LW95"
"p: I->R",7,0.000889612674278058,"seMSE","LW95"
"r: S+I->2I",7,0.00484793088516266,"seMSE","LW95"
"r: I->R",7,0.00498853200877689,"seMSE","LW95"
"S",8,22.0511756380321,"seMSE","LW95"
"I",8,17.2456418773333,"seMSE","LW95"
"R",8,9.32546963808424,"seMSE","LW95"
"p: S+I->2I",8,0.000843648596593842,"seMSE","LW95"
"p: I->R",8,0.000885273413928244,"seMSE","LW95"
"r: S+I->2I",8,0.00496514393980444,"seMSE","LW95"
"r: I->R",8,0.00501999676664874,"seMSE","LW95"
"S",9,39.0247257399096,"seMSE","LW95"
"I",9,31.5115509661112,"seMSE","LW95"
"R",9,12.8681270599865,"seMSE","LW95"
"p: S+I->2I",9,0.000805630371744528,"seMSE","LW95"
"p: I->R",9,0.000849613448086738,"seMSE","LW95"
"r: S+I->2I",9,0.00480860385156851,"seMSE","LW95"
"r: I->R",9,0.00497493829375308,"seMSE","LW95"
"S",10,52.5054896881597,"seMSE","LW95"
"I",10,38.8199515101096,"seMSE","LW95"
"R",10,15.5437204327612,"seMSE","LW95"
"p: S+I->2I",10,0.000824428462052496,"seMSE","LW95"
"p: I->R",10,0.000835197243701073,"seMSE","LW95"
"r: S+I->2I",10,0.00447903649872942,"seMSE","LW95"
"r: I->R",10,0.00465264848522669,"seMSE","LW95"
"S",11,66.8851954627152,"seMSE","LW95"
"I",11,45.5346786443851,"seMSE","LW95"
"R",11,20.5611944780153,"seMSE","LW95"
"p: S+I->2I",11,0.000836934234967594,"seMSE","LW95"
"p: I->R",11,0.000802824288115217,"seMSE","LW95"
"r: S+I->2I",11,0.00413267260484601,"seMSE","LW95"
"r: I->R",11,0.00484071732307627,"seMSE","LW95"
"S",12,65.7223220120397,"seMSE","LW95"
"I",12,43.3263893321803,"seMSE","LW95"
"R",12,24.8281450156828,"seMSE","LW95"
"p: S+I->2I",12,0.000815683880284202,"seMSE","LW95"
"p: I->R",12,0.000788310712652417,"seMSE","LW95"
"r: S+I->2I",12,0.0042700227917045,"seMSE","LW95"
"r: I->R",12,0.0046917333051098,"seMSE","LW95"
"S",13,67.7352916857459,"seMSE","LW95"
"I",13,45.6051761844366,"seMSE","LW95"
"R",13,30.8926238345578,"seMSE","LW95"
"p: S+I->2I",13,0.000826470475054562,"seMSE","LW95"
"p: I->R",13,0.000776443778840929,"seMSE","LW95"
"r: S+I->2I",13,0.00417122406177222,"seMSE","LW95"
"r: I->R",13,0.00492450345054649,"seMSE","LW95"
"S",14,64.6094356763856,"seMSE","LW95"
"I",14,48.8771699499867,"seMSE","LW95"
"R",14,33.6582151972751,"seMSE","LW95"
