"parameter","time","value","statistic","method"
"S",0,90.47,"MSE","LW95"
"I",0,90.47,"MSE","LW95"
"R",0,0,"MSE","LW95"
"p: S+I->2I",0,4.7224935362368e-05,"MSE","LW95"
"p: I->R",0,4.72171048482349e-05,"MSE","LW95"
"r: S+I->2I",0,0.00542250481932028,"MSE","LW95"
"r: I->R",0,0.00265341795479819,"MSE","LW95"
"S",1,342.2275,"MSE","LW95"
"I",1,323.9775,"MSE","LW95"
"R",1,51.2175,"MSE","LW95"
"p: S+I->2I",1,4.37626921113225e-05,"MSE","LW95"
"p: I->R",1,4.54863144600635e-05,"MSE","LW95"
"r: S+I->2I",1,0.004977418414987,"MSE","LW95"
"r: I->R",1,0.00234567040017553,"MSE","LW95"
"S",2,1009.105,"MSE","LW95"
"I",2,927.1,"MSE","LW95"
"R",2,168.615,"MSE","LW95"
"p: S+I->2I",2,4.68329658541321e-05,"MSE","LW95"
"p: I->R",2,4.44797061899048e-05,"MSE","LW95"
"r: S+I->2I",2,0.00424611380778512,"MSE","LW95"
"r: I->R",2,0.00231953703356412,"MSE","LW95"
"S",3,2333.75,"MSE","LW95"
"I",3,2006.9975,"MSE","LW95"
"R",3,377.7625,"MSE","LW95"
"p: S+I->2I",3,4.6419199966274e-05,"MSE","LW95"
"p: I->R",3,4.21747699580575e-05,"MSE","LW95"
"r: S+I->2I",3,0.0037322470048215,"MSE","LW95"
"r: I->R",3,0.00230442541074578,"MSE","LW95"
"S",4,3579.4175,"MSE","LW95"
"I",4,3192.3625,"MSE","LW95"
"R",4,706.78,"MSE","LW95"
"p: S+I->2I",4,4.61269918040221e-05,"MSE","LW95"
"p: I->R",4,4.68069940278201e-05,"MSE","LW95"
"r: S+I->2I",4,0.00261884294932096,"MSE","LW95"
"r: I->R",4,0.00242641080930955,"MSE","LW95"
"S",5,6621.5075,"MSE","LW95"
"I",5,5678.4975,"MSE","LW95"
"R",5,1342.105,"MSE","LW95"
"p: S+I->2I",5,4.62786590797943e-05,"MSE","LW95"
"p: I->R",5,4.59016167590553e-05,"MSE","LW95"
"r: S+I->2I",5,0.00202214264616169,"MSE","LW95"
"r: I->R",5,0.00233477658862376,"MSE","LW95"
"S",6,9538.695,"MSE","LW95"
"I",6,7118.0925,"MSE","LW95"
"R",6,2124.5875,"MSE","LW95"
"p: S+I->2I",6,4.57821505866876e-05,"MSE","LW95"
"p: I->R",6,4.51480706826166e-05,"MSE","LW95"
"r: S+I->2I",6,0.00178255014383319,"MSE","LW95"
"r: I->R",6,0.00195316816023562,"MSE","LW95"
"S",7,15207.6875,"MSE","LW95"
"I",7,9455.4475,"MSE","LW95"
"R",7,3440.96,"MSE","LW95"
"p: S+I->2I",7,4.5226164036818e-05,"MSE","LW95"
"p: I->R",7,4.28641407249904e-05,"MSE","LW95"
"r: S+I->2I",7,0.00183614362414053,"MSE","LW95"
"r: I->R",7,0.00175948933949708,"MSE","LW95"
"S",8,23951.785,"MSE","LW95"
"I",8,14382.8175,"MSE","LW95"
"R",8,5843.1675,"MSE","LW95"
"p: S+I->2I",8,4.7348873723581e-05,"MSE","LW95"
"p: I->R",8,4.29324041197791e-05,"MSE","LW95"
"r: S+I->2I",8,0.00170034634617985,"MSE","LW95"
"r: I->R",8,0.0018470979625402,"MSE","LW95"
"S",9,46022.1,"MSE","LW95"
"I",9,30082.52,"MSE","LW95"
"R",9,8881.8125,"MSE","LW95"
"p: S+I->2I",9,4.41336900166788e-05,"MSE","LW95"
"p: I->R",9,4.26560769735651e-05,"MSE","LW95"
"r: S+I->2I",9,0.00162844977888065,"MSE","LW95"
"r: I->R",9,0.0016738220800746,"MSE","LW95"
"S",10,66983.76,"MSE","LW95"
"I",10,41296.8,"MSE","LW95"
"R",10,12240.0425,"MSE","LW95"
"p: S+I->2I",10,4.29055953077414e-05,"MSE","LW95"
"p: I->R",10,4.38835169588678e-05,"MSE","LW95"
"r: S+I->2I",10,0.00144989229038311,"MSE","LW95"
"r: I->R",10,0.00155751920036996,"MSE","LW95"
"S",11,99124.43,"MSE","LW95"
"I",11,58038.62,"MSE","LW95"
"R",11,17952.985,"MSE","LW95"
"p: S+I->2I",11,4.30508711371809e-05,"MSE","LW95"
"p: I->R",11,4.10042949338261e-05,"MSE","LW95"
"r: S+I->2I",11,0.00129118304580178,"MSE","LW95"
"r: I->R",11,0.00160578587055854,"MSE","LW95"
"S",12,139847.2,"MSE","LW95"
"I",12,76048.095,"MSE","LW95"
"R",12,29175.2175,"MSE","LW95"
"p: S+I->2I",12,4.34545839994797e-05,"MSE","LW95"
"p: I->R",12,4.02540805484093e-05,"MSE","LW95"
"r: S+I->2I",12,0.00131027800422109,"MSE","LW95"
"r: I->R",12,0.00152301757683667,"MSE","LW95"
"S",13,185338.63,"MSE","LW95"
"I",13,104183.1625,"MSE","LW95"
"R",13,41937.925,"MSE","LW95"
"p: S+I->2I",13,4.47844356170466e-05,"MSE","LW95"
"p: I->R",13,3.86924043756977e-05,"MSE","LW95"
"r: S+I->2I",13,0.00130209275300591,"MSE","LW95"
"r: I->R",13,0.0015947682376079,"MSE","LW95"
"S",14,218211.55,"MSE","LW95"
"I",14,132022.825,"MSE","LW95"
"R",14,57166.3875,"MSE","LW95"
"p: S+I->2I",14,4.77774277373522e-05,"MSE","LW95"
"p: I->R",14,3.89223150132261e-05,"MSE","LW95"
"r: S+I->2I",14,0.00129246401776543,"MSE","LW95"
"r: I->R",14,0.00162149938990777,"MSE","LW95"
"S",15,326754.505,"MSE","LW95"
"I",15,192923.25,"MSE","LW95"
"R",15,87551.7575,"MSE","LW95"
"p: S+I->2I",15,4.86696442632424e-05,"MSE","LW95"
"p: I->R",15,4.10352430058859e-05,"MSE","LW95"
"r: S+I->2I",15,0.00126602816238071,"MSE","LW95"
"r: I->R",15,0.0014657627753073,"MSE","LW95"
"S",16,381706.56,"MSE","LW95"
"I",16,209280.3,"MSE","LW95"
"R",16,128068.965,"MSE","LW95"
"p: S+I->2I",16,4.61375502454576e-05,"MSE","LW95"
"p: I->R",16,4.07963594050604e-05,"MSE","LW95"
"r: S+I->2I",16,0.0012654268326843,"MSE","LW95"
"r: I->R",16,0.00140955954305961,"MSE","LW95"
"S",17,448785.12,"MSE","LW95"
"I",17,253447.295,"MSE","LW95"
"R",17,154946.56,"MSE","LW95"
"p: S+I->2I",17,4.40949295083537e-05,"MSE","LW95"
"p: I->R",17,3.81371237126214e-05,"MSE","LW95"
"r: S+I->2I",17,0.00125411651845033,"MSE","LW95"
"r: I->R",17,0.00143700333329926,"MSE","LW95"
"S",18,474389.7025,"MSE","LW95"
"I",18,255295.8675,"MSE","LW95"
"R",18,187528.13,"MSE","LW95"
"p: S+I->2I",18,3.55627072816475e-05,"MSE","LW95"
"p: I->R",18,3.61524685058585e-05,"MSE","LW95"
"r: S+I->2I",18,0.00128451305391335,"MSE","LW95"
"r: I->R",18,0.00133506537283859,"MSE","LW95"
"S",19,477812.5075,"MSE","LW95"
"I",19,274520.1725,"MSE","LW95"
"R",19,209032.37,"MSE","LW95"
"p: S+I->2I",19,3.33156276580875e-05,"MSE","LW95"
"p: I->R",19,3.32090931872883e-05,"MSE","LW95"
"r: S+I->2I",19,0.00124889158128137,"MSE","LW95"
"r: I->R",19,0.00126803356647862,"MSE","LW95"
"S",20,471715.4325,"MSE","LW95"
"I",20,269532.015,"MSE","LW95"
"R",20,198763.2475,"MSE","LW95"
"p: S+I->2I",20,3.2820420322111e-05,"MSE","LW95"
"p: I->R",20,2.84091367717625e-05,"MSE","LW95"
"r: S+I->2I",20,0.00117702374061218,"MSE","LW95"
"r: I->R",20,0.00124804308748864,"MSE","LW95"
"S",21,477918.8625,"MSE","LW95"
"I",21,273827.1275,"MSE","LW95"
"R",21,219868.895,"MSE","LW95"
"p: S+I->2I",21,3.37466116214466e-05,"MSE","LW95"
"p: I->R",21,2.76251596015339e-05,"MSE","LW95"
"r: S+I->2I",21,0.00125324523878004,"MSE","LW95"
"r: I->R",21,0.0012270842174464,"MSE","LW95"
"S",22,450962.205,"MSE","LW95"
"I",22,256085.43,"MSE","LW95"
"R",22,234716.6275,"MSE","LW95"
"p: S+I->2I",22,2.94122276306943e-05,"MSE","LW95"
"p: I->R",22,2.6202451496336e-05,"MSE","LW95"
"r: S+I->2I",22,0.00117674880235879,"MSE","LW95"
"r: I->R",22,0.00113070445279659,"MSE","LW95"
"S",23,441549.14,"MSE","LW95"
"I",23,251746.0075,"MSE","LW95"
"R",23,233679.445,"MSE","LW95"
"p: S+I->2I",23,2.72557420020998e-05,"MSE","LW95"
"p: I->R",23,2.52824839048537e-05,"MSE","LW95"
"r: S+I->2I",23,0.00129044640134083,"MSE","LW95"
"r: I->R",23,0.00125216076097035,"MSE","LW95"
"S",24,433803.7025,"MSE","LW95"
"I",24,223002.9525,"MSE","LW95"
"R",24,214271.1175,"MSE","LW95"
"p: S+I->2I",24,2.98034472344032e-05,"MSE","LW95"
"p: I->R",24,2.44276588432924e-05,"MSE","LW95"
"r: S+I->2I",24,0.0012041535418779,"MSE","LW95"
"r: I->R",24,0.00117846340056243,"MSE","LW95"
"S",25,450321.9875,"MSE","LW95"
"I",25,210730.9625,"MSE","LW95"
"R",25,212262.665,"MSE","LW95"
"p: S+I->2I",25,3.02344665473e-05,"MSE","LW95"
"p: I->R",25,2.23113807867283e-05,"MSE","LW95"
"r: S+I->2I",25,0.00121731130042079,"MSE","LW95"
"r: I->R",25,0.00123925675327975,"MSE","LW95"
"S",26,441016.22,"MSE","LW95"
"I",26,193007.2575,"MSE","LW95"
"R",26,220626.615,"MSE","LW95"
"p: S+I->2I",26,2.71611233000838e-05,"MSE","LW95"
"p: I->R",26,2.05056421098649e-05,"MSE","LW95"
"r: S+I->2I",26,0.00121070694749677,"MSE","LW95"
"r: I->R",26,0.00125789689608017,"MSE","LW95"
"S",27,436049.065,"MSE","LW95"
"I",27,178090.91,"MSE","LW95"
"R",27,215419.51,"MSE","LW95"
"p: S+I->2I",27,2.57406604640615e-05,"MSE","LW95"
"p: I->R",27,1.87554902487523e-05,"MSE","LW95"
"r: S+I->2I",27,0.00120477605443376,"MSE","LW95"
"r: I->R",27,0.00122221282807703,"MSE","LW95"
"S",28,448140.975,"MSE","LW95"
"I",28,161133.625,"MSE","LW95"
"R",28,236805.545,"MSE","LW95"
"p: S+I->2I",28,2.59933609363573e-05,"MSE","LW95"
"p: I->R",28,1.79956067531096e-05,"MSE","LW95"
"r: S+I->2I",28,0.00119397350666108,"MSE","LW95"
"r: I->R",28,0.0011831157297321,"MSE","LW95"
"S",29,404748.395,"MSE","LW95"
"I",29,134288.2875,"MSE","LW95"
"R",29,224263.29,"MSE","LW95"
"p: S+I->2I",29,2.41942304657068e-05,"MSE","LW95"
"p: I->R",29,1.76788109664058e-05,"MSE","LW95"
"r: S+I->2I",29,0.00115318284722409,"MSE","LW95"
"r: I->R",29,0.00110557085096306,"MSE","LW95"
"S",30,405031.5825,"MSE","LW95"
"I",30,110774.4825,"MSE","LW95"
"R",30,241658.2075,"MSE","LW95"
"p: S+I->2I",30,2.23392507307612e-05,"MSE","LW95"
"p: I->R",30,1.64772559314238e-05,"MSE","LW95"
"r: S+I->2I",30,0.00114477061310053,"MSE","LW95"
"r: I->R",30,0.00107371814674115,"MSE","LW95"
"S",31,402824.2825,"MSE","LW95"
"I",31,88824.735,"MSE","LW95"
"R",31,253756.1075,"MSE","LW95"
"p: S+I->2I",31,2.15900778487457e-05,"MSE","LW95"
"p: I->R",31,1.61154536152974e-05,"MSE","LW95"
"r: S+I->2I",31,0.00110095409405991,"MSE","LW95"
