"parameter","time","value","statistic","method"
"r: I->R",15,0.00468605734481047,"MSE","LW99"
"S",16,1207410.2975,"MSE","LW99"
"I",16,895505.16,"MSE","LW99"
"R",16,408196.8025,"MSE","LW99"
"p: S->I",16,0.000133612339673907,"MSE","LW99"
"p: I->R",16,0.000150620839823345,"MSE","LW99"
"r: S->I",16,0.00361408810279152,"MSE","LW99"
"r: I->R",16,0.00436501961926894,"MSE","LW99"
"S",17,1307869.79,"MSE","LW99"
"I",17,987222.3825,"MSE","LW99"
"R",17,426962.5775,"MSE","LW99"
"p: S->I",17,0.000117912960529628,"MSE","LW99"
"p: I->R",17,0.000131773175862713,"MSE","LW99"
"r: S->I",17,0.00358989178033334,"MSE","LW99"
"r: I->R",17,0.00412722039378308,"MSE","LW99"
"S",18,1150144.395,"MSE","LW99"
"I",18,868591.61,"MSE","LW99"
"R",18,480672.3925,"MSE","LW99"
"p: S->I",18,0.00010194167337637,"MSE","LW99"
"p: I->R",18,9.15040627662752e-05,"MSE","LW99"
"r: S->I",18,0.00356659206243399,"MSE","LW99"
"r: I->R",18,0.00366948027584213,"MSE","LW99"
"S",19,1081474.365,"MSE","LW99"
"I",19,915876.6075,"MSE","LW99"
"R",19,510783.8475,"MSE","LW99"
"p: S->I",19,9.6479648556188e-05,"MSE","LW99"
"p: I->R",19,0.000118319120080374,"MSE","LW99"
"r: S->I",19,0.0032535801656944,"MSE","LW99"
"r: I->R",19,0.00346849937365143,"MSE","LW99"
"S",20,1108439.775,"MSE","LW99"
"I",20,816140.09,"MSE","LW99"
"R",20,623300.975,"MSE","LW99"
"p: S->I",20,8.42605172395941e-05,"MSE","LW99"
"p: I->R",20,0.000114668910542403,"MSE","LW99"
"r: S->I",20,0.00313108138385263,"MSE","LW99"
"r: I->R",20,0.0031134155170068,"MSE","LW99"
"S",21,1193454.7525,"MSE","LW99"
"I",21,1066324.405,"MSE","LW99"
"R",21,666077.825,"MSE","LW99"
"p: S->I",21,7.67659964947353e-05,"MSE","LW99"
"p: I->R",21,0.000106813692150597,"MSE","LW99"
"r: S->I",21,0.0031044588104524,"MSE","LW99"
"r: I->R",21,0.00316427237266635,"MSE","LW99"
"S",22,1141067.62,"MSE","LW99"
"I",22,1053810.3875,"MSE","LW99"
"R",22,743991.6725,"MSE","LW99"
"p: S->I",22,7.10360284724488e-05,"MSE","LW99"
"p: I->R",22,0.000110288028736905,"MSE","LW99"
"r: S->I",22,0.00309031249493979,"MSE","LW99"
"r: I->R",22,0.00311509102842213,"MSE","LW99"
"S",23,991633.4225,"MSE","LW99"
"I",23,975712.5025,"MSE","LW99"
"R",23,621077.15,"MSE","LW99"
"p: S->I",23,6.2534443994424e-05,"MSE","LW99"
"p: I->R",23,9.1695631783525e-05,"MSE","LW99"
"r: S->I",23,0.00279878193693714,"MSE","LW99"
"r: I->R",23,0.00284536174006591,"MSE","LW99"
"S",24,954361.1675,"MSE","LW99"
"I",24,957389.585,"MSE","LW99"
"R",24,652417.1425,"MSE","LW99"
"p: S->I",24,5.72016681787472e-05,"MSE","LW99"
"p: I->R",24,8.75101090724971e-05,"MSE","LW99"
"r: S->I",24,0.00281108144682079,"MSE","LW99"
"r: I->R",24,0.0028889289887609,"MSE","LW99"
"S",25,953716.81,"MSE","LW99"
"I",25,935229.1425,"MSE","LW99"
"R",25,610681.73,"MSE","LW99"
"p: S->I",25,5.65584346970363e-05,"MSE","LW99"
"p: I->R",25,7.58996561522217e-05,"MSE","LW99"
"r: S->I",25,0.00268171327861741,"MSE","LW99"
"r: I->R",25,0.00275075637400802,"MSE","LW99"
"S",26,903728.065,"MSE","LW99"
"I",26,903235.62,"MSE","LW99"
"R",26,647469.99,"MSE","LW99"
"p: S->I",26,5.78332737846253e-05,"MSE","LW99"
"p: I->R",26,8.71034224985899e-05,"MSE","LW99"
"r: S->I",26,0.00264157459252689,"MSE","LW99"
"r: I->R",26,0.00276972663839604,"MSE","LW99"
"S",27,826447.075,"MSE","LW99"
"I",27,613647.055,"MSE","LW99"
"R",27,453254.015,"MSE","LW99"
"p: S->I",27,5.0541932444e-05,"MSE","LW99"
"p: I->R",27,5.51501499042148e-05,"MSE","LW99"
"r: S->I",27,0.00244368173391223,"MSE","LW99"
"r: I->R",27,0.00256227313279511,"MSE","LW99"
"S",28,826657.415,"MSE","LW99"
"I",28,575391.71,"MSE","LW99"
"R",28,442260.835,"MSE","LW99"
"p: S->I",28,4.66550794042586e-05,"MSE","LW99"
"p: I->R",28,4.06464030979104e-05,"MSE","LW99"
"r: S->I",28,0.00241415783062709,"MSE","LW99"
"r: I->R",28,0.00259885583935297,"MSE","LW99"
"S",29,801761.02,"MSE","LW99"
"I",29,492639.625,"MSE","LW99"
"R",29,447958.725,"MSE","LW99"
"p: S->I",29,4.63336524286359e-05,"MSE","LW99"
"p: I->R",29,4.21083107637938e-05,"MSE","LW99"
"r: S->I",29,0.00231384440047423,"MSE","LW99"
"r: I->R",29,0.00241114580308642,"MSE","LW99"
"S",30,759160.3075,"MSE","LW99"
"I",30,419926.78,"MSE","LW99"
"R",30,414193.2575,"MSE","LW99"
"p: S->I",30,4.39067654893923e-05,"MSE","LW99"
"p: I->R",30,4.17450501524806e-05,"MSE","LW99"
"r: S->I",30,0.00233108287669163,"MSE","LW99"
"r: I->R",30,0.00236025339352411,"MSE","LW99"
"S",31,707520.835,"MSE","LW99"
"I",31,353100.725,"MSE","LW99"
"R",31,397101.24,"MSE","LW99"
"p: S->I",31,4.14437629619164e-05,"MSE","LW99"
"p: I->R",31,3.17047845233119e-05,"MSE","LW99"
"r: S->I",31,0.00226252795378828,"MSE","LW99"
"r: I->R",31,0.00230855414256002,"MSE","LW99"
"S",32,691528.1,"MSE","LW99"
"I",32,307602.3725,"MSE","LW99"
"R",32,414611.08,"MSE","LW99"
"p: S->I",32,4.11185264461478e-05,"MSE","LW99"
"p: I->R",32,3.57144780970968e-05,"MSE","LW99"
"r: S->I",32,0.00237514178020893,"MSE","LW99"
"r: I->R",32,0.00229162153294702,"MSE","LW99"
"S",33,721697.95,"MSE","LW99"
"I",33,277872.6525,"MSE","LW99"
"R",33,438147.9775,"MSE","LW99"
"p: S->I",33,4.78092222825074e-05,"MSE","LW99"
"p: I->R",33,3.02922204536698e-05,"MSE","LW99"
"r: S->I",33,0.00214845677149477,"MSE","LW99"
"r: I->R",33,0.00210425717773599,"MSE","LW99"
"S",34,755777.0875,"MSE","LW99"
"I",34,239846.5225,"MSE","LW99"
"R",34,461754.7425,"MSE","LW99"
"p: S->I",34,4.6184134300847e-05,"MSE","LW99"
"p: I->R",34,2.93622469860953e-05,"MSE","LW99"
"r: S->I",34,0.00224930236127885,"MSE","LW99"
"r: I->R",34,0.0021891474501905,"MSE","LW99"
"S",35,726340.4325,"MSE","LW99"
"I",35,204113.255,"MSE","LW99"
"R",35,463311.8725,"MSE","LW99"
"p: S->I",35,4.51974589338256e-05,"MSE","LW99"
"p: I->R",35,2.92786566858214e-05,"MSE","LW99"
"r: S->I",35,0.00224118200835375,"MSE","LW99"
"r: I->R",35,0.0021591441604985,"MSE","LW99"
"S",36,765337.5775,"MSE","LW99"
"I",36,178783.34,"MSE","LW99"
"R",36,482860.235,"MSE","LW99"
"p: S->I",36,4.57658060562147e-05,"MSE","LW99"
"p: I->R",36,2.58499117744164e-05,"MSE","LW99"
"r: S->I",36,0.00207073054622143,"MSE","LW99"
"r: I->R",36,0.00210965499194318,"MSE","LW99"
"S",37,752063.5275,"MSE","LW99"
"I",37,155938.1775,"MSE","LW99"
"R",37,494163.27,"MSE","LW99"
