"parameter","time","value","statistic","method"
"S",0,0,"MSE","LW90"
"I",0,0,"MSE","LW90"
"R",0,0,"MSE","LW90"
"p: S->I",0,0.0936697566277415,"MSE","LW90"
"p: I->R",0,0.0851991582894779,"MSE","LW90"
"r: S->I",0,0.0985960983391414,"MSE","LW90"
"r: I->R",0,0.0561386943719188,"MSE","LW90"
"S",1,18.8025,"MSE","LW90"
"I",1,25.37,"MSE","LW90"
"R",1,5.9125,"MSE","LW90"
"p: S->I",1,0.0297672731198841,"MSE","LW90"
"p: I->R",1,0.0474131254334787,"MSE","LW90"
"r: S->I",1,0.0995699811798763,"MSE","LW90"
"r: I->R",1,0.045826524963867,"MSE","LW90"
"S",2,142.715,"MSE","LW90"
"I",2,135.18,"MSE","LW90"
"R",2,22,"MSE","LW90"
"p: S->I",2,0.0390564774584837,"MSE","LW90"
"p: I->R",2,0.0350467825152962,"MSE","LW90"
"r: S->I",2,0.0765415938228524,"MSE","LW90"
"r: I->R",2,0.0478940668570299,"MSE","LW90"
"S",3,730.07,"MSE","LW90"
"I",3,714.175,"MSE","LW90"
"R",3,85.7525,"MSE","LW90"
"p: S->I",3,0.0315615053287437,"MSE","LW90"
"p: I->R",3,0.0334389372477925,"MSE","LW90"
"r: S->I",3,0.0633911818624279,"MSE","LW90"
"r: I->R",3,0.0505819393589645,"MSE","LW90"
"S",4,2449.095,"MSE","LW90"
"I",4,1928.425,"MSE","LW90"
"R",4,446.8525,"MSE","LW90"
"p: S->I",4,0.0304643050102241,"MSE","LW90"
"p: I->R",4,0.0337544363377909,"MSE","LW90"
"r: S->I",4,0.0513587969431476,"MSE","LW90"
"r: I->R",4,0.0532846183923713,"MSE","LW90"
"S",5,17111.4375,"MSE","LW90"
"I",5,12350.23,"MSE","LW90"
"R",5,1768.77,"MSE","LW90"
"p: S->I",5,0.0280076009671497,"MSE","LW90"
"p: I->R",5,0.0397718965395231,"MSE","LW90"
"r: S->I",5,0.0518444955532776,"MSE","LW90"
"r: I->R",5,0.0488194571539617,"MSE","LW90"
"S",6,27459.6425,"MSE","LW90"
"I",6,16248.86,"MSE","LW90"
"R",6,7727.485,"MSE","LW90"
"p: S->I",6,0.0274492983923842,"MSE","LW90"
"p: I->R",6,0.0380643022180144,"MSE","LW90"
"r: S->I",6,0.0466704667964569,"MSE","LW90"
"r: I->R",6,0.0456970280156358,"MSE","LW90"
"S",7,101854.03,"MSE","LW90"
"I",7,58075.99,"MSE","LW90"
"R",7,30102.2775,"MSE","LW90"
"p: S->I",7,0.0276166761498265,"MSE","LW90"
"p: I->R",7,0.0381178045939713,"MSE","LW90"
"r: S->I",7,0.0462372523913863,"MSE","LW90"
"r: I->R",7,0.0483717493932898,"MSE","LW90"
"S",8,261432.9125,"MSE","LW90"
"I",8,166161.1375,"MSE","LW90"
"R",8,112901.3225,"MSE","LW90"
"p: S->I",8,0.0245153897755274,"MSE","LW90"
"p: I->R",8,0.0372675414116423,"MSE","LW90"
"r: S->I",8,0.0424500064094352,"MSE","LW90"
"r: I->R",8,0.0458205181856469,"MSE","LW90"
"S",9,595112.548339324,"MSE","LW90"
"I",9,434140.577056213,"MSE","LW90"
"R",9,321975.66,"MSE","LW90"
"p: S->I",9,0.0256304606676581,"MSE","LW90"
"p: I->R",9,0.0394770115036621,"MSE","LW90"
"r: S->I",9,0.0433510677762096,"MSE","LW90"
"r: I->R",9,0.0450253260397083,"MSE","LW90"
"S",10,730882.846938775,"MSE","LW90"
"I",10,754388.826530612,"MSE","LW90"
"R",10,567985.073979592,"MSE","LW90"
"p: S->I",10,0.0245597007525862,"MSE","LW90"
"p: I->R",10,0.0387733665589741,"MSE","LW90"
"r: S->I",10,0.0408298170095746,"MSE","LW90"
"r: I->R",10,0.0435242569522271,"MSE","LW90"
"S",11,1178376.31846939,"MSE","LW90"
"I",11,1388252.46834652,"MSE","LW90"
"R",11,1102387.09183673,"MSE","LW90"
"p: S->I",11,0.0233315259861054,"MSE","LW90"
"p: I->R",11,0.0381454324813271,"MSE","LW90"
"r: S->I",11,0.0418408704384455,"MSE","LW90"
"r: I->R",11,0.043020577365196,"MSE","LW90"
"S",12,1162962.49960731,"MSE","LW90"
"I",12,1528749.60263158,"MSE","LW90"
"R",12,1408942.55526316,"MSE","LW90"
"p: S->I",12,0.0231987370240479,"MSE","LW90"
"p: I->R",12,0.0349665158466361,"MSE","LW90"
"r: S->I",12,0.0422752773025835,"MSE","LW90"
