"parameter","time","value","statistic","method"
"r: I->R",12,0.0424008238665044,"MSE","LW90"
"S",13,902633.804946237,"MSE","LW90"
"I",13,1473013.91560335,"MSE","LW90"
"R",13,1421039.79115617,"MSE","LW90"
"p: S->I",13,0.020406930555928,"MSE","LW90"
"p: I->R",13,0.0296688240187455,"MSE","LW90"
"r: S->I",13,0.0406240685886967,"MSE","LW90"
"r: I->R",13,0.0394975058333166,"MSE","LW90"
"S",14,937128.862279933,"MSE","LW90"
"I",14,1582825.45367347,"MSE","LW90"
"R",14,1469379.41944444,"MSE","LW90"
"p: S->I",14,0.0194998273045122,"MSE","LW90"
"p: I->R",14,0.0286370886112132,"MSE","LW90"
"r: S->I",14,0.0421712767204375,"MSE","LW90"
"r: I->R",14,0.0403317290108136,"MSE","LW90"
"S",15,981256.112359551,"MSE","LW90"
"I",15,1648886.22011548,"MSE","LW90"
"R",15,1520799.49719101,"MSE","LW90"
"p: S->I",15,0.0182253449077524,"MSE","LW90"
"p: I->R",15,0.0265348189565054,"MSE","LW90"
"r: S->I",15,0.0421514236967922,"MSE","LW90"
"r: I->R",15,0.0374329202645424,"MSE","LW90"
"S",16,1015893.15988372,"MSE","LW90"
"I",16,1594654.0381137,"MSE","LW90"
"R",16,1344219.09593023,"MSE","LW90"
"p: S->I",16,0.0173628550326589,"MSE","LW90"
"p: I->R",16,0.0228709203895967,"MSE","LW90"
"r: S->I",16,0.0413307300797866,"MSE","LW90"
"r: I->R",16,0.0376491131857055,"MSE","LW90"
"S",17,1069186.44705882,"MSE","LW90"
"I",17,1341206.9135054,"MSE","LW90"
"R",17,1355220.89779412,"MSE","LW90"
"p: S->I",17,0.0167622974514543,"MSE","LW90"
"p: I->R",17,0.0211994912137257,"MSE","LW90"
"r: S->I",17,0.0377312060393703,"MSE","LW90"
"r: I->R",17,0.0339462175906473,"MSE","LW90"
"S",18,1015425.29411765,"MSE","LW90"
"I",18,1193793.14411765,"MSE","LW90"
"R",18,1402906.38634139,"MSE","LW90"
"p: S->I",18,0.0153463518563906,"MSE","LW90"
"p: I->R",18,0.018417984659765,"MSE","LW90"
"r: S->I",18,0.038785295623442,"MSE","LW90"
"r: I->R",18,0.0345503835281399,"MSE","LW90"
"S",19,883379.838339356,"MSE","LW90"
"I",19,938184.481707317,"MSE","LW90"
"R",19,1266869.96578591,"MSE","LW90"
"p: S->I",19,0.0145888291500612,"MSE","LW90"
"p: I->R",19,0.0171185705991043,"MSE","LW90"
"r: S->I",19,0.0350819436426807,"MSE","LW90"
"r: I->R",19,0.0325596307713494,"MSE","LW90"
"S",20,773990.396103896,"MSE","LW90"
"I",20,847696.850649351,"MSE","LW90"
"R",20,1152392.88311688,"MSE","LW90"
"p: S->I",20,0.0137280601873676,"MSE","LW90"
"p: I->R",20,0.0173185088530043,"MSE","LW90"
"r: S->I",20,0.0348895716142841,"MSE","LW90"
"r: I->R",20,0.03333267872467,"MSE","LW90"
"S",21,839167.376666667,"MSE","LW90"
"I",21,800970.685925926,"MSE","LW90"
"R",21,1161635.03,"MSE","LW90"
"p: S->I",21,0.0144852554631965,"MSE","LW90"
"p: I->R",21,0.0174807348821427,"MSE","LW90"
"r: S->I",21,0.0356576391688778,"MSE","LW90"
"r: I->R",21,0.0336570682598347,"MSE","LW90"
"S",22,875878.429577465,"MSE","LW90"
"I",22,582918.313380282,"MSE","LW90"
"R",22,886222.334507042,"MSE","LW90"
"p: S->I",22,0.0150783736770868,"MSE","LW90"
"p: I->R",22,0.0147490127200017,"MSE","LW90"
"r: S->I",22,0.0313769048689718,"MSE","LW90"
"r: I->R",22,0.0297928199117316,"MSE","LW90"
"S",23,871888.402173913,"MSE","LW90"
"I",23,533664.608695652,"MSE","LW90"
"R",23,817771.974637681,"MSE","LW90"
"p: S->I",23,0.0153090497167119,"MSE","LW90"
"p: I->R",23,0.0132500093192581,"MSE","LW90"
"r: S->I",23,0.0298019089483793,"MSE","LW90"
"r: I->R",23,0.0293069996471346,"MSE","LW90"
"S",24,829142.5,"MSE","LW90"
"I",24,297823.571969697,"MSE","LW90"
"R",24,705096.488636364,"MSE","LW90"
"p: S->I",24,0.014910314074531,"MSE","LW90"
"p: I->R",24,0.011986811524528,"MSE","LW90"
"r: S->I",24,0.0284206365162982,"MSE","LW90"
"r: I->R",24,0.0281853404632129,"MSE","LW90"
"S",25,810305.928030303,"MSE","LW90"
"I",25,278391.738636364,"MSE","LW90"
"R",25,732582.776515151,"MSE","LW90"
"p: S->I",25,0.0146424304467404,"MSE","LW90"
"p: I->R",25,0.0113288740066081,"MSE","LW90"
"r: S->I",25,0.0285000169781946,"MSE","LW90"
"r: I->R",25,0.0280301463146129,"MSE","LW90"
"S",26,933227.689393939,"MSE","LW90"
"I",26,242792.140151515,"MSE","LW90"
"R",26,829661.041666667,"MSE","LW90"
"p: S->I",26,0.0151076629912816,"MSE","LW90"
"p: I->R",26,0.0112039451836701,"MSE","LW90"
"r: S->I",26,0.0284064268258404,"MSE","LW90"
"r: I->R",26,0.0270903199679163,"MSE","LW90"
"S",27,987649.625,"MSE","LW90"
"I",27,201332.363636364,"MSE","LW90"
"R",27,936348.068181818,"MSE","LW90"
"p: S->I",27,0.0149415792111197,"MSE","LW90"
"p: I->R",27,0.0109974523367097,"MSE","LW90"
"r: S->I",27,0.027657082964079,"MSE","LW90"
"r: I->R",27,0.0264007593290933,"MSE","LW90"
"S",28,1071589.24615385,"MSE","LW90"
"I",28,178604.003846154,"MSE","LW90"
"R",28,1086792.29615385,"MSE","LW90"
"p: S->I",28,0.0151449528594303,"MSE","LW90"
"p: I->R",28,0.0111601737277785,"MSE","LW90"
"r: S->I",28,0.0290811277066995,"MSE","LW90"
"r: I->R",28,0.0276073651790747,"MSE","LW90"
"S",29,1133565.62692308,"MSE","LW90"
"I",29,155148.280769231,"MSE","LW90"
"R",29,1202929.63846154,"MSE","LW90"
"p: S->I",29,0.0153326148039111,"MSE","LW90"
"p: I->R",29,0.0111393998002479,"MSE","LW90"
"r: S->I",29,0.0288535843250923,"MSE","LW90"
"r: I->R",29,0.0275118286699149,"MSE","LW90"
"S",30,875563.051587302,"MSE","LW90"
"I",30,137519.277777778,"MSE","LW90"
"R",30,950091.678571429,"MSE","LW90"
"p: S->I",30,0.0117754109625374,"MSE","LW90"
"p: I->R",30,0.00934439458818182,"MSE","LW90"
"r: S->I",30,0.0290508401508469,"MSE","LW90"
"r: I->R",30,0.0275275361971074,"MSE","LW90"
"S",31,850133.080645161,"MSE","LW90"
"I",31,119208.120967742,"MSE","LW90"
"R",31,927430.600806452,"MSE","LW90"
"p: S->I",31,0.0119531425797268,"MSE","LW90"
"p: I->R",31,0.00910287983772446,"MSE","LW90"
"r: S->I",31,0.0282628461939895,"MSE","LW90"
"r: I->R",31,0.0276517053503905,"MSE","LW90"
"S",32,853626.185483871,"MSE","LW90"
"I",32,107313.524193548,"MSE","LW90"
"R",32,928398.471774194,"MSE","LW90"
"p: S->I",32,0.0120224939555477,"MSE","LW90"
"p: I->R",32,0.00909427586029557,"MSE","LW90"
"r: S->I",32,0.0282289018031986,"MSE","LW90"
"r: I->R",32,0.0281786291837015,"MSE","LW90"
"S",33,784062.3,"MSE","LW90"
"I",33,61925.9541666667,"MSE","LW90"
"R",33,676082.266666667,"MSE","LW90"
"p: S->I",33,0.012483779206333,"MSE","LW90"
"p: I->R",33,0.00749760308374829,"MSE","LW90"
"r: S->I",33,0.0222000376116005,"MSE","LW90"
"r: I->R",33,0.024541265208115,"MSE","LW90"
"S",34,825446.395833333,"MSE","LW90"
"I",34,51031.9708333333,"MSE","LW90"
"R",34,722211.7375,"MSE","LW90"
"p: S->I",34,0.012380842710676,"MSE","LW90"
"p: I->R",34,0.00738088410543466,"MSE","LW90"
"r: S->I",34,0.0217300804619777,"MSE","LW90"
"r: I->R",34,0.0247013843260544,"MSE","LW90"
"S",35,851439.908333333,"MSE","LW90"
"I",35,40874.5375,"MSE","LW90"
"R",35,746710.520833333,"MSE","LW90"
"p: S->I",35,0.0125789294235232,"MSE","LW90"
"p: I->R",35,0.00744242230628733,"MSE","LW90"
"r: S->I",35,0.0218476906495945,"MSE","LW90"
"r: I->R",35,0.024844504624241,"MSE","LW90"
"S",36,845069.416666667,"MSE","LW90"
"I",36,33016.1166666667,"MSE","LW90"
"R",36,752388.6625,"MSE","LW90"
"p: S->I",36,0.0125988132154638,"MSE","LW90"
"p: I->R",36,0.0071785591637232,"MSE","LW90"
"r: S->I",36,0.0224912277270836,"MSE","LW90"
"r: I->R",36,0.0256390762696995,"MSE","LW90"
"S",37,854755.6625,"MSE","LW90"
"I",37,26796.2208333333,"MSE","LW90"
"R",37,760409.133333333,"MSE","LW90"
"p: S->I",37,0.0126598001823987,"MSE","LW90"
"p: I->R",37,0.00736284500726422,"MSE","LW90"
"r: S->I",37,0.0224087518236805,"MSE","LW90"
"r: I->R",37,0.0255435544400268,"MSE","LW90"
"S",38,839476.683333333,"MSE","LW90"
"I",38,22544.4208333333,"MSE","LW90"
"R",38,764227.979166667,"MSE","LW90"
"p: S->I",38,0.0123903623063551,"MSE","LW90"
"p: I->R",38,0.00710321126991322,"MSE","LW90"
"r: S->I",38,0.0224125858336026,"MSE","LW90"
"r: I->R",38,0.0251591315214522,"MSE","LW90"
"S",39,853313.237288136,"MSE","LW90"
"I",39,19266.2372881356,"MSE","LW90"
"R",39,773921.512711864,"MSE","LW90"
"p: S->I",39,0.0126576632278615,"MSE","LW90"
"p: I->R",39,0.00727491788479004,"MSE","LW90"
"r: S->I",39,0.022390004616356,"MSE","LW90"
"r: I->R",39,0.0256938315444243,"MSE","LW90"
"S",40,852554.449152542,"MSE","LW90"
"I",40,17022.2372881356,"MSE","LW90"
"R",40,775421.419491525,"MSE","LW90"
"p: S->I",40,0.0126020269882418,"MSE","LW90"
"p: I->R",40,0.00717482197037488,"MSE","LW90"
"r: S->I",40,0.0230573042860181,"MSE","LW90"
"r: I->R",40,0.0261212694700991,"MSE","LW90"
"S",41,847925.241525424,"MSE","LW90"
"I",41,14699.7796610169,"MSE","LW90"
"R",41,773014.933262712,"MSE","LW90"
"p: S->I",41,0.0124840319690036,"MSE","LW90"
"p: I->R",41,0.00715708883767964,"MSE","LW90"
"r: S->I",41,0.0232386158960394,"MSE","LW90"
"r: I->R",41,0.0265754727074862,"MSE","LW90"
"S",42,880081.131355932,"MSE","LW90"
"I",42,12791.6355932203,"MSE","LW90"
"R",42,800520.059322034,"MSE","LW90"
"p: S->I",42,0.0124839295647212,"MSE","LW90"
"p: I->R",42,0.00717632587763022,"MSE","LW90"
"r: S->I",42,0.0232616474327524,"MSE","LW90"
"r: I->R",42,0.026665377077127,"MSE","LW90"
"S",43,900386.927966102,"MSE","LW90"
"I",43,11720.3050847458,"MSE","LW90"
"R",43,824225.656779661,"MSE","LW90"
"p: S->I",43,0.0121894126662113,"MSE","LW90"
"p: I->R",43,0.00705643637090409,"MSE","LW90"
"r: S->I",43,0.0230107897894092,"MSE","LW90"
"r: I->R",43,0.0260991947565016,"MSE","LW90"
"S",44,913124.381355932,"MSE","LW90"
"I",44,19724.4491525424,"MSE","LW90"
"R",44,818090.440677966,"MSE","LW90"
"p: S->I",44,0.0122164603172814,"MSE","LW90"
"p: I->R",44,0.00674294161737614,"MSE","LW90"
"r: S->I",44,0.0233673181286179,"MSE","LW90"
"r: I->R",44,0.0266351693859863,"MSE","LW90"
"S",45,930474.542372881,"MSE","LW90"
"I",45,18231.1355932203,"MSE","LW90"
"R",45,835412.805084746,"MSE","LW90"
"p: S->I",45,0.0122179593405346,"MSE","LW90"
"p: I->R",45,0.00668299402127937,"MSE","LW90"
"r: S->I",45,0.0232605244499825,"MSE","LW90"
"r: I->R",45,0.026376993434683,"MSE","LW90"
"S",46,938815.436440678,"MSE","LW90"
"I",46,13858.5084745763,"MSE","LW90"
"R",46,841843.673728813,"MSE","LW90"
"p: S->I",46,0.0123829492223011,"MSE","LW90"
"p: I->R",46,0.00680748243637203,"MSE","LW90"
"r: S->I",46,0.0235918068654071,"MSE","LW90"
"r: I->R",46,0.0266849348581303,"MSE","LW90"
"S",47,978595.809322034,"MSE","LW90"
"I",47,25731.1016949153,"MSE","LW90"
"R",47,881152.855932203,"MSE","LW90"
"p: S->I",47,0.0121224491856859,"MSE","LW90"
"p: I->R",47,0.00659991369216519,"MSE","LW90"
"r: S->I",47,0.0244293161430002,"MSE","LW90"
"r: I->R",47,0.027420721012493,"MSE","LW90"
"S",48,958040.860169491,"MSE","LW90"
"I",48,6547.17372881356,"MSE","LW90"
"R",48,877037.542372881,"MSE","LW90"
"p: S->I",48,0.0120285393813808,"MSE","LW90"
"p: I->R",48,0.00641548195717439,"MSE","LW90"
"r: S->I",48,0.0246931387441366,"MSE","LW90"
"r: I->R",48,0.0276456707086802,"MSE","LW90"
"S",49,967175.279661017,"MSE","LW90"
"I",49,23852.1016949153,"MSE","LW90"
"R",49,874698.720338983,"MSE","LW90"
"p: S->I",49,0.0119557924550164,"MSE","LW90"
"p: I->R",49,0.00646708560279996,"MSE","LW90"
"r: S->I",49,0.025055503306654,"MSE","LW90"
"r: I->R",49,0.0281843227996247,"MSE","LW90"
"S",50,993551.030720339,"MSE","LW90"
"I",50,23684.8474576271,"MSE","LW90"
"R",50,896783.652542373,"MSE","LW90"
"p: S->I",50,0.0120288587991876,"MSE","LW90"
"p: I->R",50,0.00650113845166599,"MSE","LW90"
"r: S->I",50,0.0249477229049096,"MSE","LW90"
"r: I->R",50,0.0280449076396577,"MSE","LW90"
"S",0,0,"seMSE","LW90"
"I",0,0,"seMSE","LW90"
"R",0,0,"seMSE","LW90"
"p: S->I",0,0.0266826325067669,"seMSE","LW90"
"p: I->R",0,0.0278320566650082,"seMSE","LW90"
"r: S->I",0,0.035439164244147,"seMSE","LW90"
"r: I->R",0,0.0322252260688433,"seMSE","LW90"
"S",1,0.550210057100877,"seMSE","LW90"
"I",1,0.600655152773793,"seMSE","LW90"
"R",1,0.39347071890148,"seMSE","LW90"
"p: S->I",1,0.0224408324721214,"seMSE","LW90"
"p: I->R",1,0.0260371234552118,"seMSE","LW90"
"r: S->I",1,0.0361827890925868,"seMSE","LW90"
"r: I->R",1,0.0288705076117305,"seMSE","LW90"
"S",2,1.58080256328847,"seMSE","LW90"
"I",2,1.56382242392431,"seMSE","LW90"
"R",2,0.761460658429059,"seMSE","LW90"
"p: S->I",2,0.029029268689522,"seMSE","LW90"
"p: I->R",2,0.0218042600311235,"seMSE","LW90"
"r: S->I",2,0.0329303749768504,"seMSE","LW90"
"r: I->R",2,0.0269758517943853,"seMSE","LW90"
"S",3,3.8196572253874,"seMSE","LW90"
"I",3,3.69463128073147,"seMSE","LW90"
"R",3,1.21095363335397,"seMSE","LW90"
"p: S->I",3,0.0228775880148864,"seMSE","LW90"
"p: I->R",3,0.0239380923778415,"seMSE","LW90"
"r: S->I",3,0.0308947050148168,"seMSE","LW90"
"r: I->R",3,0.0270290217268795,"seMSE","LW90"
"S",4,8.00338491334631,"seMSE","LW90"
"I",4,7.47769552059632,"seMSE","LW90"
"R",4,3.13846007345714,"seMSE","LW90"
"p: S->I",4,0.0238414343515489,"seMSE","LW90"
"p: I->R",4,0.0247280281182528,"seMSE","LW90"
"r: S->I",4,0.0296880180331213,"seMSE","LW90"
"r: I->R",4,0.0309035080760933,"seMSE","LW90"
"S",5,30.6544659902691,"seMSE","LW90"
"I",5,27.418691668049,"seMSE","LW90"
"R",5,6.29028338252445,"seMSE","LW90"
"p: S->I",5,0.0233886725531087,"seMSE","LW90"
"p: I->R",5,0.0255704170116344,"seMSE","LW90"
"r: S->I",5,0.026790855855962,"seMSE","LW90"
"r: I->R",5,0.0269181559553239,"seMSE","LW90"
"S",6,25.8818208096696,"seMSE","LW90"
"I",6,19.2763805629495,"seMSE","LW90"
"R",6,14.5454595703914,"seMSE","LW90"
"p: S->I",6,0.0234250508703252,"seMSE","LW90"
"p: I->R",6,0.0248219567354225,"seMSE","LW90"
"r: S->I",6,0.0248421426404739,"seMSE","LW90"
"r: I->R",6,0.0250467682423941,"seMSE","LW90"
"S",7,52.6199863554546,"seMSE","LW90"
"I",7,39.9081277545569,"seMSE","LW90"
"R",7,30.9241654668183,"seMSE","LW90"
"p: S->I",7,0.0242388475030789,"seMSE","LW90"
"p: I->R",7,0.0246958353657946,"seMSE","LW90"
"r: S->I",7,0.0240779040439255,"seMSE","LW90"
"r: I->R",7,0.0254440832788283,"seMSE","LW90"
"S",8,84.2799208237852,"seMSE","LW90"
"I",8,71.9613695950169,"seMSE","LW90"
"R",8,60.6019861044621,"seMSE","LW90"
"p: S->I",8,0.0217031099852256,"seMSE","LW90"
"p: I->R",8,0.0241713411159032,"seMSE","LW90"
"r: S->I",8,0.0226709036868473,"seMSE","LW90"
"r: I->R",8,0.0247846049237989,"seMSE","LW90"
"S",9,135.337065795901,"seMSE","LW90"
"I",9,122.115178494515,"seMSE","LW90"
"R",9,93.9583364971887,"seMSE","LW90"
"p: S->I",9,0.0230793735285733,"seMSE","LW90"
"p: I->R",9,0.0250371210509084,"seMSE","LW90"
"r: S->I",9,0.0222212203087478,"seMSE","LW90"
"r: I->R",9,0.024468809218881,"seMSE","LW90"
"S",10,134.085489369531,"seMSE","LW90"
"I",10,148.719228995384,"seMSE","LW90"
"R",10,115.219060525015,"seMSE","LW90"
"p: S->I",10,0.0230089628576132,"seMSE","LW90"
"p: I->R",10,0.024830372484621,"seMSE","LW90"
"r: S->I",10,0.0220004459007924,"seMSE","LW90"
"r: I->R",10,0.0239378074791767,"seMSE","LW90"
"S",11,178.222971301781,"seMSE","LW90"
"I",11,187.316064126768,"seMSE","LW90"
"R",11,158.496218843774,"seMSE","LW90"
"p: S->I",11,0.0225029523300743,"seMSE","LW90"
"p: I->R",11,0.0249058244627267,"seMSE","LW90"
"r: S->I",11,0.0218853831841359,"seMSE","LW90"
"r: I->R",11,0.0233140038424719,"seMSE","LW90"
"S",12,176.47260215838,"seMSE","LW90"
"I",12,205.94161844074,"seMSE","LW90"
"R",12,191.698491575065,"seMSE","LW90"
"p: S->I",12,0.0240843629642997,"seMSE","LW90"
"p: I->R",12,0.0237436083123252,"seMSE","LW90"
"r: S->I",12,0.0235588028639931,"seMSE","LW90"
"r: I->R",12,0.0239957525227916,"seMSE","LW90"
"S",13,150.93166795075,"seMSE","LW90"
"I",13,192.666031174396,"seMSE","LW90"
"R",13,189.358866149236,"seMSE","LW90"
"p: S->I",13,0.0244335898968258,"seMSE","LW90"
"p: I->R",13,0.0227995608307159,"seMSE","LW90"
"r: S->I",13,0.02382720246515,"seMSE","LW90"
"r: I->R",13,0.0228138678769856,"seMSE","LW90"
"S",14,162.295929294125,"seMSE","LW90"
"I",14,198.549512786572,"seMSE","LW90"
"R",14,194.108075567801,"seMSE","LW90"
"p: S->I",14,0.0246700931421757,"seMSE","LW90"
"p: I->R",14,0.023423543711369,"seMSE","LW90"
"r: S->I",14,0.02549555352511,"seMSE","LW90"
"r: I->R",14,0.0238875888171284,"seMSE","LW90"
"S",15,156.334960902293,"seMSE","LW90"
"I",15,196.4270258314,"seMSE","LW90"
"R",15,189.422622142113,"seMSE","LW90"
"p: S->I",15,0.0240197115389726,"seMSE","LW90"
"p: I->R",15,0.0229860428240301,"seMSE","LW90"
"r: S->I",15,0.0253918803665229,"seMSE","LW90"
"r: I->R",15,0.0234695005897598,"seMSE","LW90"
"S",16,152.279230303355,"seMSE","LW90"
"I",16,202.399087072626,"seMSE","LW90"
"R",16,171.140574591253,"seMSE","LW90"
"p: S->I",16,0.0239030248380107,"seMSE","LW90"
"p: I->R",16,0.0223404109376337,"seMSE","LW90"
"r: S->I",16,0.0254716028625677,"seMSE","LW90"
"r: I->R",16,0.0253369693985313,"seMSE","LW90"
"S",17,154.5633822857,"seMSE","LW90"
"I",17,186.068933814251,"seMSE","LW90"
"R",17,168.056532022547,"seMSE","LW90"
"p: S->I",17,0.0234050847119973,"seMSE","LW90"
"p: I->R",17,0.0219788617928728,"seMSE","LW90"
"r: S->I",17,0.0246979668169148,"seMSE","LW90"
"r: I->R",17,0.0237420774151082,"seMSE","LW90"
"S",18,153.194731831439,"seMSE","LW90"
"I",18,180.135540337597,"seMSE","LW90"
"R",18,166.861463834121,"seMSE","LW90"
"p: S->I",18,0.0230663356267255,"seMSE","LW90"
"p: I->R",18,0.0206708913470917,"seMSE","LW90"
"r: S->I",18,0.026170304574037,"seMSE","LW90"
"r: I->R",18,0.0246377116228607,"seMSE","LW90"
"S",19,155.395194640622,"seMSE","LW90"
"I",19,164.116123036585,"seMSE","LW90"
"R",19,162.017624050127,"seMSE","LW90"
"p: S->I",19,0.0235584557971909,"seMSE","LW90"
"p: I->R",19,0.020878562891241,"seMSE","LW90"
"r: S->I",19,0.0266386071174003,"seMSE","LW90"
"r: I->R",19,0.0261459742201117,"seMSE","LW90"
"S",20,136.957065878205,"seMSE","LW90"
"I",20,163.870830259027,"seMSE","LW90"
"R",20,165.682441856307,"seMSE","LW90"
"p: S->I",20,0.024158292798973,"seMSE","LW90"
"p: I->R",20,0.02214664615892,"seMSE","LW90"
"r: S->I",20,0.0283463304062583,"seMSE","LW90"
"r: I->R",20,0.028008578367568,"seMSE","LW90"
"S",21,143.854867163887,"seMSE","LW90"
"I",21,163.039466515148,"seMSE","LW90"
"R",21,162.72681341965,"seMSE","LW90"
"p: S->I",21,0.0245393560714168,"seMSE","LW90"
"p: I->R",21,0.0228085921835655,"seMSE","LW90"
"r: S->I",21,0.0308453368736005,"seMSE","LW90"
"r: I->R",21,0.0300050721953086,"seMSE","LW90"
"S",22,161.560825019062,"seMSE","LW90"
"I",22,161.50139120849,"seMSE","LW90"
"R",22,152.798048897781,"seMSE","LW90"
"p: S->I",22,0.0253663417972526,"seMSE","LW90"
"p: I->R",22,0.0233591718458925,"seMSE","LW90"
"r: S->I",22,0.031643437309574,"seMSE","LW90"
"r: I->R",22,0.0298161504519856,"seMSE","LW90"
"S",23,170.854099497293,"seMSE","LW90"
"I",23,168.978519797328,"seMSE","LW90"
"R",23,153.654450193325,"seMSE","LW90"
"p: S->I",23,0.0254772641539628,"seMSE","LW90"
"p: I->R",23,0.0229949034988922,"seMSE","LW90"
"r: S->I",23,0.0309018705706128,"seMSE","LW90"
"r: I->R",23,0.0293185550659982,"seMSE","LW90"
"S",24,167.330845226127,"seMSE","LW90"
"I",24,162.536017910516,"seMSE","LW90"
"R",24,149.807059693509,"seMSE","LW90"
"p: S->I",24,0.024730514097824,"seMSE","LW90"
"p: I->R",24,0.0220833979036784,"seMSE","LW90"
"r: S->I",24,0.0302305916091696,"seMSE","LW90"
"r: I->R",24,0.028462693145529,"seMSE","LW90"
"S",25,170.19525935155,"seMSE","LW90"
"I",25,160.332124895039,"seMSE","LW90"
"R",25,159.400118567161,"seMSE","LW90"
"p: S->I",25,0.0238412600424674,"seMSE","LW90"
"p: I->R",25,0.0217039957318101,"seMSE","LW90"
"r: S->I",25,0.031044252746089,"seMSE","LW90"
"r: I->R",25,0.0287959819987992,"seMSE","LW90"
"S",26,191.686547014426,"seMSE","LW90"
"I",26,153.851775167838,"seMSE","LW90"
"R",26,176.765102739773,"seMSE","LW90"
"p: S->I",26,0.0245506446195271,"seMSE","LW90"
"p: I->R",26,0.0217480084574072,"seMSE","LW90"
